iter	Passed	Remaining
260	16703	47487
261	16788	47482
262	16870	47468
263	16940	47421
264	17076	47556
265	17151	47521
266	17233	47503
267	17325	47515
268	17413	47514
269	17513	47544
270	17620	47595
271	17650	47435
272	17741	47441
273	17822	47418
274	17854	47264
275	17924	47214
276	18000	47177
277	18105	47216
278	18190	47203
279	18281	47206
280	18384	47236
281	18479	47246
282	18577	47265
283	18655	47230
284	18735	47199
285	18814	47168
286	18914	47187
287	18997	47163
288	19094	47173
289	19192	47187
290	19210	47001
291	19286	46962
292	19377	46956
293	19471	46956
294	19582	46998
295	19676	46996
296	19741	46928
297	19806	46856
298	19869	46782
299	19936	46716
300	19997	46639
301	20067	46580
302	20167	46592
303	20271	46610
304	20371	46621
305	20470	46627
306	20566	46625
307	20679	46662
308	20774	46659
309	20849	46607
310	20959	46636
311	21063	46650
312	21195	46724
313	21309	46759
314	21384	46706
315	21456	46647
316	21531	46594
317	21621	46574
318	21705	46540
319	21792	46513
320	21858	46441
321	21930	46380
322	21997	46310
323	22051	46213
324	22102	46109
325	22168	46036
326	22232	45959
327	22292	45876
328	22360	45808
329	22432	45748
330	22492	45665
331	22544	45564
332	22601	45475
333	22676	45420
334	22736	45337
335	22797	45255
336	22858	45173
337	22916	45088
338	22980	45011
339	23034	44917
340	23092	44831
341	23167	44776
342	23232	44703
343	23298	44632
344	23373	44578
345	23443	44515
346	23505	44436
347	23585	44391
348	23694	44402
349	23805	44413
350	23899	44393
351	23971	44333
352	24062	44306
353	24144	44264
354	24220	44210
355	24321	44202
356	24406	44165
357	24484	44113
358	24571	44077
359	24652	44031
360	24723	43968
361	24809	43929
362	24898	43898
363	24977	43848
364	25090	43857
365	25190	43843
366	25260	43775
367	25358	43756
368	25439	43709
369	25516	43654
370	25622	43648
371	25731	43647
372	25811	43596
373	25918	43589
374	26055	43634
375	26171	43641
376	26276	43631
377	26424	43691
378	26548	43710
379	26686	43751
380	26774	43710
381	26859	43664
382	26938	43608
383	27020	43556
384	27097	43497
385	27210	43495
386	27310	43470
387	27456	43520
388	27641	43629
389	27791	43682
390	27968	43776
391	28158	43890
392	28308	43939
393	28435	43952
394	28575	43985
395	28702	43996
396	28848	44036
397	28985	44060
398	29085	44029
399	29166	43968
